"Year","Country","Code","Name","Maternity unit types","Births per year","Highest neonatal unit designation","Labour induction","Birthweight <10th centile","Birthweight <10th centile born at/after 40 weeks","Spontaneous vaginal birth","Instrumental birth","Caesarean birth","Planned/elective caesarean birth","Unplanned/emergency caesarean birth","Birth without intervention definition 1","Birth without intervention definition 2","VBAC for 2nd birth","VBAC 2nd birth among attempted	","Episiotomy","3rd/4th degree tears","Haemorrhage 1500ml or more","Haemorrhage 500ml or more","Unplanned maternal readmission","Smoking cessation in pregnancy","Smoking at time of birth/late pregnancy","Skin to skin contact","Breast milk at first feed","Breast milk at discharge home","Apgar score <7 at 5 minutes","Neonatal unit admission (term)","Neonatal unit admission (late preterm)","Mechanically ventilated babies","Neonatal encephelopathy"
"16/17","England","RA2","Royal Surrey County Hospital NHS Foundation Trust","OU(s) and AMU(s)","2500-3999","SCBU","","20.3%","64.2%","57.1%","15.3%","26.8%","7.9%","20.0%","","","70.9%","","12.2%","2.9%","2.6%","32.7%","5.0%","","6.3%","77.2%","87.6%","","1.4%","","","",""
"16/17","England","RA3","Weston Area Health NHS Trust","FMU(s) only","Under 2500","No neonatal units","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","17.8%","","80.0%","","N/A","N/A","N/A","N/A","N/A"
"16/17","England","RA4","Yeovil District Hospital NHS Foundation Trust","OU(s) only","Under 2500","SCBU","33.2%","9.1%","57.3%","67.3%","11.7%","22.0%","8.8%","13.9%","","43.5%","11.3%","22.4%","18.4%","4.2%","2.6%","35.3%","2.9%","","13.4%","","81.3%","","1.4%","","","",""
"16/17","England","RA7","University Hospitals Bristol NHS Foundation Trust","OU(s) and AMU(s)","4000-5999","NICU","32.2%","8.0%","50.7%","61.8%","13.5%","24.5%","11.9%","12.7%","","","10.6%","27.5%","21.1%","3.6%","3.0%","33.5%","6.4%","12.5%","12.2%","86.4%","74.8%","76.5%","1.3%","","","",""
"16/17","England","RA9","Torbay and South Devon NHS Foundation Trust","OU(s) and FMU(s)","Under 2500","SCBU","29.3%","5.5%","57.2%","62.1%","12.2%","25.6%","11.6%","14.1%","","","24.7%","69.1%","16.9%","2.8%","1.9%","26.3%","4.5%","","","88.6%","76.1%","68.9%","3.6%","9.1%","70.2%","0.43%","0.28%"
"16/17","England","RAE","Bradford Teaching Hospitals NHS Foundation Trust","OU(s) and AMU(s)","4000-5999","NICU","25.3%","10.4%","70.5%","67.6%","10.7%","21.5%","12.1%","10.6%","","","29.9%","64.1%","21.1%","2.7%","2.4%","31.2%","2.1%","","","","","","0.9%","","","",""
"16/17","England","RAJ","Southend University Hospital NHS Foundation Trust","OU(s) and AMU(s)","2500-3999","LNU","22.8%","8.1%","59.7%","65.3%","7.2%","27.2%","10.9%","16.3%","42.2%","45.9%","22.5%","61.4%","17.7%","2.6%","2.3%","26.1%","2.9%","46.2%","7.6%","88.5%","73.8%","69.9%","1.0%","","","",""
"16/17","England","RAL","Royal Free London NHS Foundation Trust","OU(s), AMU(s) and FMU(s)","6000 or more","LNU","25.6%","6.3%","52.9%","60.1%","11.5%","28.3%","11.6%","16.5%","37.4%","38.7%","22.3%","52.2%","24.8%","1.8%","2.3%","38.2%","3.4%","42.9%","4.1%","","89.9%","84.9%","1.1%","","","",""
"16/17","England","RAP","North Middlesex University Hospital NHS Trust","OU(s) and AMU(s)","4000-5999","LNU","22.7%","8.6%","50.5%","60.1%","9.6%","29.9%","10.7%","19.3%","45.7%","48.4%","20.1%","51.7%","20.9%","2.7%","2.1%","32.8%","3.0%","","8.7%","65.8%","85.5%","68.1%","1.3%","","","",""
"16/17","England","RAS","The Hillingdon Hospitals NHS Foundation Trust","OU(s) and AMU(s)","4000-5999","LNU","24.7%","8.5%","54.2%","59.3%","15.2%","25.2%","10.4%","14.6%","","","24.4%","54.6%","27.4%","2.8%","2.7%","39.8%","5.0%","","7.8%","79.1%","","","0.8%","","","",""
"16/17","England","RAX","Kingston Hospital NHS Foundation Trust","OU(s) and AMU(s)","4000-5999","LNU","28.7%","7.4%","51.8%","61.1%","13.6%","25.1%","11.1%","14.1%","30.8%","34.7%","24.7%","56.9%","21.0%","3.0%","3.1%","34.0%","3.6%","45.5%","3.3%","84.3%","92.7%","90.8%","1.0%","","","",""
"16/17","England","RBA","Taunton and Somerset NHS Foundation Trust","OU(s), AMU(s) and FMU(s)","2500-3999","LNU","29.9%","8.0%","45.4%","63.8%","12.3%","23.8%","11.7%","11.8%","","49.1%","24.2%","60.4%","17.2%","4.5%","3.6%","36.4%","2.4%","","14.0%","89.0%","81.2%","78.0%","2.0%","4.8%","41.8%","0.63%","0.27%"
"16/17","England","RBD","Dorset County Hospital NHS Foundation Trust","OU(s) only","Under 2500","SCBU","31.5%","7.1%","57.5%","67.2%","13.3%","20.1%","8.7%","11.5%","","50.2%","39.8%","64.1%","21.8%","2.5%","","","4.4%","27.5%","14.0%","86.8%","","72.5%","1.4%","","","",""
"16/17","England","RBK","Walsall Healthcare NHS Trust","OU(s) and FMU(s)","4000-5999","LNU","32.7%","7.7%","41.6%","57.8%","12.8%","29.5%","11.3%","18.2%","","","22.2%","67.9%","35.5%","3.2%","","","2.5%","32.8%","10.9%","","51.2%","48.9%","1.6%","","","",""
"16/17","England","RBL","Wirral University Teaching Hospital NHS Foundation Trust","OU(s) and AMU(s)","2500-3999","NICU","31.4%","4.0%","50.4%","64.1%","11.6%","24.0%","10.2%","13.7%","","","26.1%","65.8%","18.7%","3.6%","2.1%","28.9%","2.3%","","","","54.4%","47.5%","","","","",""
"16/17","England","RBN","St Helens and Knowsley Teaching Hospitals NHS Trust","OU(s) only","2500-3999","LNU","30.4%","7.2%","48.0%","62.7%","9.7%","27.2%","12.8%","14.2%","","","19.8%","58.7%","20.2%","1.9%","1.0%","20.3%","1.9%","23.4%","16.6%","80.4%","46.7%","40.2%","0.6%","","","",""
"16/17","England","RBT","Mid Cheshire Hospitals NHS Foundation Trust","OU(s) and AMU(s)","2500-3999","NICU","32.3%","7.3%","51.4%","61.9%","12.4%","25.6%","12.2%","13.1%","","40.7%","24.6%","68.6%","22.1%","4.1%","4.2%","33.9%","2.0%","13.2%","15.6%","88.5%","60.3%","55.8%","1.0%","","","",""
"16/17","England","RBZ","Northern Devon Healthcare NHS Trust","OU(s) only","Under 2500","SCBU","23.7%","5.3%","82.1%","60.3%","10.6%","29.3%","12.0%","17.4%","33.9%","41.0%","25.4%","66.8%","21.3%","3.4%","3.0%","30.4%","3.5%","","","81.4%","78.7%","74.0%","1.4%","","","",""
"16/17","England","RC1","Bedford Hospital NHS Trust","OU(s) and AMU(s)","2500-3999","SCBU","29.0%","4.8%","58.8%","59.1%","14.6%","26.2%","10.8%","15.2%","36.6%","37.2%","25.8%","63.9%","29.6%","2.9%","2.2%","23.0%","4.3%","14.3%","9.2%","87.0%","77.0%","78.9%","0.9%","","","",""
"16/17","England","RC9","Luton and Dunstable University Hospital NHS Foundation Trust","OU(s) and AMU(s)","4000-5999","NICU","28.7%","5.9%","52.4%","56.2%","14.0%","29.8%","11.4%","18.3%","","36.1%","16.7%","44.2%","27.5%","3.8%","4.1%","41.7%","2.3%","19.8%","10.4%","89.4%","78.9%","74.2%","0.8%","","","",""
"16/17","England","RCB","York Teaching Hospital NHS Foundation Trust","OU(s) and AMU(s)","4000-5999","LNU","31.2%","6.8%","52.6%","64.7%","11.5%","23.5%","10.2%","13.3%","","","26.8%","55.0%","23.7%","2.4%","2.3%","33.9%","2.9%","13.1%","14.1%","90.4%","71.3%","65.9%","1.2%","","","",""
"16/17","England","RCD","Harrogate and District NHS Foundation Trust","OU(s) only","Under 2500","SCBU","30.9%","4.8%","62.7%","62.7%","11.1%","26.6%","13.3%","13.0%","22.8%","47.2%","23.6%","60.1%","19.9%","3.9%","3.2%","37.7%","3.0%","11.0%","31.5%","94.3%","84.3%","79.7%","1.3%","","","",""
"16/17","England","RCF","Airedale NHS Foundation Trust","OU(s) and AMU(s)","Under 2500","LNU","36.0%","7.9%","50.8%","63.1%","12.3%","24.5%","10.4%","14.3%","","39.4%","25.7%","70.9%","23.1%","6.4%","3.9%","39.0%","4.8%","30.4%","10.5%","","77.0%","69.5%","2.3%","3.2%","55.2%","","0.22%"
"16/17","England","RD1","Royal United Hospitals Bath NHS Foundation Trust","OU(s) and FMU(s)","4000-5999","LNU","30.1%","9.3%","66.0%","63.3%","17.4%","20.4%","8.6%","12.4%","","41.0%","11.5%","22.2%","24.4%","3.5%","2.9%","31.6%","9.1%","35.7%","9.3%","","84.4%","27.5%","1.6%","","","",""
"16/17","England","RD3","Poole Hospital NHS Foundation Trust","OU(s) and AMU(s)","4000-5999","LNU","31.8%","8.5%","53.7%","62.3%","11.5%","26.3%","9.9%","16.4%","","48.2%","26.6%","65.7%","21.6%","3.2%","3.6%","27.7%","2.9%","19.6%","10.3%","79.7%","80.1%","","1.7%","4.0%","42.9%","0.41%","0.21%"
"16/17","England","RD8","Milton Keynes University Hospital NHS Foundation Trust","OU(s) only","2500-3999","LNU","","13.8%","73.7%","59.1%","13.1%","28.0%","10.9%","17.9%","","","23.1%","","24.7%","","2.2%","36.3%","2.7%","26.9%","11.2%","","","","0.7%","","","",""
"16/17","England","RDD","Basildon and Thurrock University Hospitals NHS Foundation Trust","OU(s) and AMU(s)","4000-5999","LNU","22.2%","5.4%","56.1%","63.9%","9.2%","26.5%","10.3%","16.4%","","50.2%","23.1%","50.7%","19.3%","3.1%","3.1%","35.2%","2.5%","41.3%","9.9%","79.0%","","","1.2%","","","",""
"16/17","England","RDE","Colchester Hospital University NHS Foundation Trust","OU(s), AMU(s) and FMU(s)","2500-3999","LNU","24.8%","7.9%","56.3%","61.5%","12.0%","26.4%","9.8%","16.7%","","54.0%","16.0%","35.8%","19.9%","3.3%","4.4%","32.9%","2.8%","20.9%","13.0%","80.2%","74.1%","73.4%","0.9%","","","",""
"16/17","England","RDU","Frimley Health NHS Foundation Trust","OU(s) and AMU(s)","6000 or more","LNU","32.7%","6.1%","49.2%","63.7%","12.9%","23.6%","10.9%","12.8%","","37.1%","24.5%","63.3%","23.4%","3.5%","2.8%","35.6%","4.9%","11.9%","7.0%","88.6%","82.0%","78.5%","1.0%","","","",""
"16/17","England","RE9","South Tyneside NHS Foundation Trust","OU(s) only","Under 2500","SCBU","43.0%","","","64.5%","11.2%","23.5%","12.0%","11.4%","","","31.2%","61.4%","19.8%","2.6%","4.8%","36.7%","3.0%","8.5%","24.8%","","","","","","","",""
"16/17","England","REF","Royal Cornwall Hospitals NHS Trust","OU(s) and FMU(s)","4000-5999","LNU","29.6%","6.3%","58.7%","67.0%","10.9%","20.9%","11.6%","9.6%","36.8%","43.8%","30.7%","69.8%","17.6%","3.6%","1.2%","20.7%","8.7%","91.5%","27.0%","90.9%","79.0%","74.4%","1.2%","","","",""
"16/17","England","REP","Liverpool Women's NHS Foundation Trust","OU(s) and AMU(s)","6000 or more","NICU","37.7%","6.3%","44.2%","59.0%","14.5%","26.6%","13.2%","13.0%","30.0%","32.7%","21.0%","61.3%","22.9%","3.6%","2.6%","37.4%","2.3%","","14.6%","85.0%","42.1%","58.1%","2.0%","5.0%","32.8%","0.73%","0.14%"
"16/17","England","RF4","Barking, Havering and Redbridge University Hospitals NHS Trust","OU(s) and AMU(s)","6000 or more","LNU","29.9%","7.9%","47.8%","61.5%","14.2%","24.4%","9.1%","15.1%","","","26.4%","60.0%","19.3%","2.0%","1.4%","29.5%","3.1%","","7.2%","62.3%","","78.1%","","","","",""
"16/17","England","RFF","Barnsley Hospital NHS Foundation Trust","OU(s) and AMU(s)","2500-3999","LNU","31.6%","7.0%","45.7%","62.5%","13.3%","24.2%","7.9%","16.1%","","","35.9%","70.2%","","3.6%","1.8%","27.1%","2.4%","40.4%","15.2%","83.8%","60.0%","","1.4%","","","",""
"16/17","England","RFR","The Rotherham NHS Foundation Trust","OU(s) only","2500-3999","LNU","27.1%","5.2%","57.5%","61.0%","14.1%","24.9%","9.5%","15.6%","","","26.0%","57.9%","21.9%","3.3%","","","4.0%","","","81.2%","57.9%","","","","","",""
"16/17","England","RFS","Chesterfield Royal Hospital NHS Foundation Trust","OU(s) and AMU(s)","2500-3999","LNU","","7.3%","52.5%","64.5%","12.0%","23.6%","8.2%","15.8%","","","35.8%","","22.5%","","1.7%","25.2%","2.9%","","12.9%","","","65.5%","0.9%","","","",""
"16/17","England","RGN","Peterborough and Stamford NHS Foundation Trust","OU(s) and AMU(s)","4000-5999","LNU","35.8%","5.9%","46.7%","64.0%","11.0%","25.0%","10.5%","14.6%","","","29.5%","65.7%","19.4%","3.2%","","31.1%","1.4%","29.6%","12.2%","65.5%","89.7%","89.2%","1.1%","","","",""
"16/17","England","RGQ","Ipswich Hospital NHS Trust","OU(s), AMU(s) and FMU(s)","2500-3999","LNU","29.9%","6.9%","49.0%","60.0%","14.7%","25.3%","10.7%","14.7%","33.0%","36.4%","28.1%","70.8%","23.0%","2.3%","2.6%","26.0%","6.1%","54.1%","7.0%","83.9%","68.7%","78.4%","1.2%","","","",""
"16/17","England","RGR","West Suffolk NHS Foundation Trust","OU(s) and AMU(s)","2500-3999","SCBU","33.2%","7.8%","49.5%","68.5%","11.2%","19.2%","7.3%","12.1%","41.7%","43.3%","36.5%","61.6%","16.0%","4.5%","3.5%","29.1%","2.3%","","19.2%","78.4%","74.3%","72.4%","1.1%","","","",""
"16/17","England","RGT","Cambridge University Hospitals NHS Foundation Trust","OU(s) and AMU(s)","4000-5999","NICU","29.7%","7.9%","54.5%","63.3%","12.2%","24.6%","12.1%","12.7%","39.6%","42.2%","27.5%","65.1%","21.2%","3.7%","2.7%","24.8%","1.8%","","6.4%","","87.1%","84.9%","0.9%","","","",""
"16/17","England","RH8","Royal Devon and Exeter NHS Foundation Trust","OU(s), AMU(s) and FMU(s)","4000-5999","LNU","30.7%","5.1%","44.8%","65.1%","11.5%","23.3%","11.1%","11.8%","","","26.7%","66.8%","17.2%","3.0%","2.2%","29.1%","3.1%","","12.0%","89.8%","82.2%","80.8%","1.2%","","","",""
"16/17","England","RHM","University Hospital Southampton NHS Foundation Trust","OU(s), AMU(s) and FMU(s)","4000-5999","NICU","26.5%","8.4%","54.8%","60.4%","14.8%","23.8%","9.0%","15.0%","","43.8%","31.6%","59.4%","23.1%","3.2%","3.3%","32.6%","3.7%","18.5%","11.8%","85.2%","78.1%","70.5%","2.1%","6.2%","42.9%","1.35%","0.30%"
"16/17","England","RHQ","Sheffield Teaching Hospitals NHS Foundation Trust","OU(s) and AMU(s)","6000 or more","NICU","21.3%","8.6%","52.4%","58.6%","12.7%","28.8%","12.4%","16.4%","","","25.6%","62.1%","20.5%","","1.9%","37.2%","4.3%","25.9%","12.5%","85.0%","70.3%","70.3%","1.6%","","","",""
"16/17","England","RHU","Portsmouth Hospitals NHS Trust","OU(s), AMU(s) and FMU(s)","4000-5999","NICU","24.4%","5.9%","63.4%","61.0%","10.2%","28.8%","12.6%","16.1%","","","22.9%","60.2%","22.6%","3.6%","4.0%","31.3%","4.6%","24.7%","12.5%","76.5%","74.0%","70.3%","1.4%","","","",""
"16/17","England","RHW","Royal Berkshire NHS Foundation Trust","OU(s) and AMU(s)","4000-5999","LNU","25.8%","5.6%","55.2%","61.9%","12.8%","25.3%","11.3%","14.2%","44.0%","44.4%","25.8%","55.6%","20.3%","3.3%","2.9%","44.7%","2.7%","20.9%","7.2%","87.3%","80.7%","74.2%","1.3%","","","",""
"16/17","England","RJ1","Guy's and St Thomas' NHS Foundation Trust","OU(s) and AMU(s)","6000 or more","NICU","23.1%","8.3%","55.1%","60.5%","12.9%","26.4%","11.4%","15.0%","","43.7%","27.1%","65.3%","22.9%","2.9%","3.7%","36.8%","4.1%","36.3%","3.4%","","92.2%","93.5%","1.0%","","","",""
"16/17","England","RJ2","Lewisham and Greenwich NHS Trust","OU(s) and AMU(s)","6000 or more","LNU","23.2%","6.0%","57.7%","65.5%","9.8%","25.3%","10.8%","14.5%","","","29.7%","77.0%","15.0%","3.2%","","","3.8%","16.0%","8.2%","","86.5%","","0.9%","","","",""
"16/17","England","RJ6","Croydon Health Services NHS Trust","OU(s) and AMU(s)","2500-3999","LNU","21.4%","","","57.9%","15.2%","27.1%","11.2%","15.8%","","39.4%","25.4%","68.0%","27.1%","2.8%","3.0%","36.7%","2.9%","24.4%","8.4%","","","","","","","",""
"16/17","England","RJ7","St George's University Hospitals NHS Foundation Trust","OU(s) and AMU(s)","4000-5999","NICU","28.5%","6.1%","50.0%","62.1%","13.7%","24.1%","11.1%","13.1%","","","25.7%","69.3%","18.6%","3.4%","3.0%","31.8%","2.7%","22.1%","4.4%","79.7%","91.2%","93.1%","0.9%","","","",""
"16/17","England","RJC","South Warwickshire NHS Foundation Trust","OU(s) only","2500-3999","SCBU","30.6%","6.0%","46.3%","61.9%","12.8%","25.3%","11.3%","14.1%","","36.6%","24.2%","61.6%","27.2%","3.1%","","","2.6%","37.8%","5.8%","","81.2%","","1.0%","","","",""
"16/17","England","RJE","University Hospitals of North Midlands NHS Trust","OU(s), AMU(s) and FMU(s)","6000 or more","NICU","31.2%","5.5%","52.4%","61.4%","10.1%","28.6%","13.8%","14.6%","","44.3%","24.1%","64.9%","22.1%","4.1%","2.1%","31.5%","2.9%","","17.4%","","","","","","","",""
"16/17","England","RJF","Burton Hospitals NHS Foundation Trust","OU(s) and FMU(s)","2500-3999","SCBU","25.8%","6.2%","42.9%","60.6%","15.1%","24.6%","9.4%","15.8%","35.9%","38.2%","25.0%","49.7%","23.6%","3.1%","2.7%","30.9%","3.6%","9.0%","12.7%","81.8%","66.8%","","1.0%","","","",""
"16/17","England","RJL","Northern Lincolnshire and Goole NHS Foundation Trust","OU(s) and FMU(s)","4000-5999","LNU","25.5%","","","65.4%","9.9%","23.9%","10.1%","13.8%","","45.0%","29.9%","64.2%","18.7%","4.1%","2.5%","31.0%","2.3%","16.4%","20.2%","","","","","","","",""
"16/17","England","RJN","East Cheshire NHS Trust","OU(s) and AMU(s)","Under 2500","LNU","34.3%","6.6%","56.3%","62.0%","12.0%","26.1%","10.8%","15.7%","","","30.5%","66.3%","26.1%","4.1%","1.2%","23.1%","2.5%","","10.4%","82.2%","69.1%","70.4%","0.9%","","","",""
"16/17","England","RJR","Countess of Chester Hospital NHS Foundation Trust","OU(s) and AMU(s)","2500-3999","LNU","32.2%","5.7%","49.7%","62.1%","10.7%","27.2%","12.1%","14.8%","32.9%","36.8%","23.2%","60.6%","20.1%","3.2%","3.3%","34.8%","2.5%","34.3%","9.5%","89.0%","","57.0%","1.1%","","","",""
"16/17","England","RJZ","King's College Hospital NHS Foundation Trust","OU(s) and AMU(s)","6000 or more","NICU","26.9%","7.8%","54.7%","60.9%","16.2%","22.1%","9.2%","13.2%","","41.9%","39.7%","70.0%","25.9%","3.6%","2.7%","32.7%","3.9%","39.3%","3.7%","87.1%","85.3%","85.7%","0.9%","","","",""
"16/17","England","RK5","Sherwood Forest Hospitals NHS Foundation Trust","OU(s) only","2500-3999","LNU","26.7%","8.2%","56.9%","64.5%","11.9%","23.1%","10.9%","12.3%","","44.8%","32.5%","96.6%","18.1%","4.2%","","","3.1%","","","95.2%","57.1%","","0.8%","","","",""
"16/17","England","RK9","University Hospitals Plymouth NHS Trust","OU(s) only","4000-5999","NICU","30.8%","7.1%","49.8%","62.0%","14.6%","23.6%","10.5%","13.2%","33.8%","40.9%","31.5%","68.3%","31.4%","3.6%","3.5%","30.2%","2.4%","22.6%","16.7%","88.0%","72.4%","","1.9%","4.0%","21.9%","0.62%","0.28%"
"16/17","England","RKB","University Hospitals Coventry and Warwickshire NHS Trust","OU(s) and AMU(s)","6000 or more","NICU","36.1%","4.4%","53.2%","62.8%","13.3%","23.9%","9.7%","14.2%","","","24.6%","58.1%","26.6%","3.2%","1.7%","22.7%","3.2%","","","84.5%","75.8%","71.2%","1.0%","","","",""
"16/17","England","RKE","Whittington Health NHS Trust","OU(s) and AMU(s)","2500-3999","LNU","28.4%","8.2%","39.9%","58.8%","13.5%","27.3%","11.6%","15.8%","40.6%","42.8%","11.8%","31.8%","24.3%","2.2%","4.6%","44.0%","3.5%","19.9%","4.5%","73.5%","","94.1%","0.8%","","","",""
"16/17","England","RL4","The Royal Wolverhampton NHS Trust","OU(s) and AMU(s)","4000-5999","NICU","33.1%","8.0%","54.0%","63.5%","11.2%","25.0%","10.3%","14.3%","","","26.5%","59.7%","18.4%","4.2%","","","2.3%","10.1%","16.8%","91.6%","66.6%","61.6%","0.9%","","","",""
"16/17","England","RLN","City Hospitals Sunderland NHS Foundation Trust","OU(s) only","2500-3999","NICU","34.5%","5.2%","54.2%","59.6%","16.3%","24.4%","11.2%","12.9%","","","24.4%","59.0%","17.6%","3.0%","2.9%","39.3%","2.1%","","16.3%","66.8%","","43.7%","3.1%","3.4%","33.2%","0.55%","0.13%"
"16/17","England","RLQ","Wye Valley NHS Trust","OU(s) only","Under 2500","SCBU","22.1%","7.1%","60.3%","61.3%","10.8%","27.8%","12.3%","15.4%","","50.7%","19.9%","71.6%","18.5%","4.9%","1.3%","23.5%","4.6%","23.4%","11.9%","","78.8%","","1.3%","","","",""
"16/17","England","RLT","George Eliot Hospital NHS Trust","OU(s) only","Under 2500","SCBU","33.5%","8.4%","55.4%","60.5%","13.3%","26.3%","11.8%","14.5%","","","31.2%","62.8%","","2.3%","0.9%","23.5%","1.9%","","12.9%","73.9%","","42.3%","1.0%","","","",""
"16/17","England","RM1","Norfolk and Norwich University Hospitals NHS Foundation Trust","OU(s) and AMU(s)","4000-5999","NICU","30.0%","6.5%","42.2%","60.8%","12.9%","26.5%","12.4%","13.8%","38.9%","40.7%","18.6%","51.1%","18.3%","3.7%","3.0%","34.0%","2.1%","","14.7%","78.5%","79.0%","73.9%","1.2%","","","",""
"16/17","England","RM2","University Hospital South Manchester NHS Foundation Trust","OU(s) and AMU(s)","4000-5999","NICU","31.0%","7.3%","53.5%","58.9%","14.3%","26.4%","12.6%","13.5%","34.0%","35.9%","26.4%","64.5%","25.8%","3.6%","1.9%","33.8%","3.0%","","12.0%","79.4%","75.0%","71.0%","0.6%","","","",""
"16/17","England","RMC","Bolton NHS Foundation Trust","OU(s) and AMU(s)","6000 or more","NICU","34.0%","7.5%","51.0%","61.1%","15.1%","23.9%","8.7%","15.3%","","","33.6%","65.8%","24.9%","3.9%","2.0%","31.6%","3.5%","","13.6%","73.1%","56.7%","61.3%","1.1%","","","",""
"16/17","England","RMP","Tameside and Glossop Integrated Care NHS Foundation Trust","OU(s) only","Under 2500","LNU","30.6%","7.7%","44.3%","65.7%","9.8%","24.0%","11.4%","12.5%","39.1%","40.5%","25.4%","60.6%","19.7%","4.4%","4.1%","36.8%","2.6%","","21.3%","67.3%","56.6%","51.2%","1.0%","","","",""
"16/17","England","RN3","Great Western Hospitals NHS Foundation Trust","OU(s) and AMU(s)","4000-5999","LNU","34.1%","8.6%","50.2%","61.7%","12.1%","26.2%","10.8%","15.1%","","44.8%","21.8%","63.8%","22.4%","3.8%","1.9%","29.9%","3.5%","16.3%","10.6%","87.6%","","","1.4%","","","",""
"16/17","England","RN5","Hampshire Hospitals NHS Foundation Trust","OU(s) and FMU(s)","4000-5999","LNU","22.4%","5.1%","62.3%","61.8%","12.3%","26.0%","10.8%","15.4%","","45.3%","22.7%","50.5%","23.8%","3.2%","4.2%","36.8%","3.0%","","","","80.4%","74.6%","0.8%","","","",""
